game_id,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_avg_market_value,home_nationalities,home_avg_age,home_total_minutes,home_total_goals,home_total_assists,home_total_yellow_cards,home_total_red_cards,away_avg_market_value,away_nationalities,away_avg_age,away_total_minutes,away_total_goals,away_total_assists,away_total_yellow_cards,away_total_red_cards,result
4376724,2024-10-20,2553.0,124.0,1.0,0.0,480000.0,4.0,27.960757472051107,991.0,1.0,1.0,1.0,0.0,3863333.3333333335,11.0,27.17116130504221,979.0,0.0,0.0,3.0,0.0,Home Win
4376747,2025-03-02,903.0,43.0,2.0,1.0,523437.5,8.0,27.57015742642026,990.0,2.0,1.0,1.0,0.0,820000.0,9.0,26.981884553958476,990.0,1.0,0.0,1.0,0.0,Home Win
4376758,2024-12-07,371.0,903.0,3.0,0.0,6828125.0,10.0,27.21013004791239,990.0,2.0,3.0,1.0,0.0,654687.5,8.0,28.07785763175907,990.0,0.0,0.0,2.0,0.0,Home Win
4393146,2024-09-15,3205.0,7160.0,2.0,2.0,921666.6666666666,8.0,28.44334930412959,950.0,2.0,2.0,3.0,0.0,1700000.0,6.0,29.910388037698098,898.0,1.0,2.0,2.0,0.0,Draw
4393157,2024-09-22,10484.0,589.0,0.0,0.0,1678333.3333333333,12.0,29.089664613278575,977.0,0.0,0.0,1.0,1.0,1116666.6666666667,12.0,29.2911704312115,990.0,0.0,0.0,6.0,0.0,Draw
4393216,2024-11-23,3205.0,36.0,2.0,6.0,978846.1538461539,8.0,29.78865897962407,945.0,1.0,2.0,4.0,0.0,8662500.0,9.0,29.20482546201232,990.0,6.0,6.0,3.0,0.0,Away Win
4393258,2024-12-22,1467.0,126.0,3.0,0.0,1656250.0,10.0,27.20516769336071,990.0,3.0,3.0,0.0,0.0,1695312.5,10.0,26.583504449007528,962.0,0.0,0.0,0.0,0.0,Home Win
4393280,2025-01-19,7160.0,11282.0,3.0,0.0,1571428.5714285714,5.0,29.327857631759066,990.0,3.0,2.0,1.0,0.0,1273214.2857142857,9.0,29.381441282878654,909.0,0.0,0.0,2.0,0.0,Home Win
4393282,2025-01-19,2293.0,10484.0,3.0,3.0,1019642.8571428572,8.0,29.28248753300088,976.0,3.0,3.0,3.0,0.0,1251785.7142857143,10.0,29.43482937322773,990.0,3.0,1.0,2.0,0.0,Draw
4393301,2025-02-01,3205.0,449.0,0.0,0.0,1046153.8461538461,8.0,29.36702995840573,990.0,0.0,0.0,4.0,0.0,4600000.0,11.0,27.80373032169747,988.0,0.0,0.0,3.0,0.0,Draw
