game_id,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_avg_market_value,home_nationalities,home_avg_age,home_total_minutes,home_total_goals,home_total_assists,home_total_yellow_cards,home_total_red_cards,away_avg_market_value,away_nationalities,away_avg_age,away_total_minutes,away_total_goals,away_total_assists,away_total_yellow_cards,away_total_red_cards,result,win_rate_last5_home,win_rate_last5_away,goal_diff_pg_home,goal_diff_pg_away,season_ppg_home,season_ppg_away,rest_days_home,rest_days_away,squad_value_home,squad_value_away
3844936,2023-02-04,2239.0,1005.0,0.0,2.0,4100000.0,8.0,26.99726214921287,990.0,0.0,0.0,1.0,0.0,6171875.0,9.0,24.261464750171115,990.0,2.0,2.0,2.0,0.0,Away Win,0.4,0.2,-0.283,-0.41,1.217,1.169,7.0,14.0,36775000.0,109380000.0
3844960,2023-02-19,12.0,276.0,1.0,0.0,7633333.333333333,8.0,27.64407939767283,990.0,1.0,1.0,1.0,0.0,5071875.0,12.0,25.480321697467488,990.0,0.0,0.0,2.0,0.0,Home Win,0.2,0.4,0.623,-0.363,1.841,1.153,15.0,20.0,387920000.0,147740000.0
3845039,2023-04-23,506.0,6195.0,0.0,1.0,14733333.333333334,7.0,27.47086470454027,991.0,0.0,0.0,4.0,0.0,25233333.33333333,13.0,26.720876112251883,991.0,1.0,1.0,1.0,0.0,Away Win,0.2,0.2,1.029,0.911,2.178,1.982,10.0,11.0,707185000.0,395755000.0
3852718,2023-03-11,1090.0,202.0,1.0,0.0,11671875.0,8.0,23.833504449007528,991.0,1.0,1.0,0.0,0.0,2470000.0,6.0,23.214236824093085,990.0,0.0,0.0,1.0,0.0,Home Win,0.8,0.2,0.639,-0.092,1.791,1.296,14.0,7.0,119225000.0,53725000.0
3852785,2023-05-13,724.0,468.0,2.0,1.0,1510000.0,5.0,24.912616929044034,992.0,2.0,2.0,2.0,0.0,1706666.6666666667,5.0,26.941649555099247,992.0,1.0,1.0,2.0,0.0,Home Win,0.2,0.4,-0.653,-0.324,1.041,1.202,22.0,20.0,13350000.0,58760000.0
3860472,2023-04-20,2381.0,449.0,4.0,1.0,889062.5,9.0,31.31536618754278,990.0,4.0,4.0,1.0,0.0,2709375.0,10.0,27.22895277207392,922.0,1.0,1.0,1.0,1.0,Home Win,0.4,0.4,-0.046,0.289,1.342,1.63,11.0,12.0,60945000.0,138885000.0
3869058,2022-08-14,2503.0,2423.0,2.0,1.0,1478571.4285714286,10.0,25.71506795736775,992.0,2.0,2.0,3.0,0.0,662500.0,6.0,25.975188227241617,951.0,1.0,1.0,7.0,0.0,Home Win,0.4,0.2,-0.308,-0.035,1.152,1.316,60.0,60.0,54195000.0,60600000.0
3886556,2023-02-19,13.0,621.0,1.0,0.0,18566666.666666668,8.0,28.288934519735346,991.0,1.0,0.0,2.0,0.0,17137500.0,2.0,27.701403148528406,990.0,0.0,0.0,3.0,0.0,Home Win,0.6,0.6,0.846,0.213,1.984,1.508,15.0,8.0,580100000.0,406925000.0
3886639,2023-04-22,366.0,12321.0,1.0,0.0,2668750.0,5.0,27.60592060232717,991.0,1.0,1.0,1.0,0.0,7353125.0,6.0,26.415811088295687,990.0,0.0,0.0,1.0,0.0,Home Win,0.2,0.4,-0.34,-0.178,1.119,1.259,13.0,12.0,81125000.0,200300000.0
3886648,2023-04-27,1050.0,714.0,4.0,2.0,16635714.285714284,6.0,27.717414686613864,993.0,4.0,2.0,2.0,0.0,4073333.3333333335,5.0,26.7688797627196,990.0,2.0,1.0,4.0,1.0,Home Win,0.6,0.0,0.479,-0.228,1.627,1.23,12.0,12.0,266800000.0,130600000.0
